"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA001066488","1960","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","249","C","194","C","","","15","C","","","213",",C,0114,","98.6",",C,0316,","3209.2",",C","1303",",C"
"CA001066488","1961","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","226","C","159","C","","","19","C","","","422",",C,1217,","102.4",",C,1030,","3166.2",",C","1959",",C"
"CA001066488","1962","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","236","C","177","C","","","11","C","","","191",",C,0115,","94.0",",C,0916,","3019.5",",C","770",",C"
"CA001066488","1963","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","246","C","177","C","","","9","C","","","114",",C,1119,","103.9",",C,1031,","3012.6",",C","496",",C"
"CA001066488","1964","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","256","C","207","C","","","24","C","","","267",",C,1212,","102.1",",C,0209,","3342.9",",C","2512",",C"
"CA001066488","1965","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","202","C","149","C","","","17","C","","","173",",C,0108,","80.0",",C,0224,","2722.8",",C","1334",",C"
"CA001066488","1966","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","247","C","184","C","","","11","C","","","114",",C,0110,","90.7",",C,1023,","3128.0",",C","903",",C"
"CA001066488","1967","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","234","C","201","C","","","17","C","","","112",",C,0120,","69.3",",C,0923,","3360.9",",C","1269",",C"
"CA001066488","1968","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","232","C","197","C","","","20","C","","","173",",C,1206,","98.0",",C,0408,","2970.2",",C","1822",",C"
"CA001066488","1969","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","","","16","C","","","305",",C,0105,","","","","","1540",",C"
"CA001066488","1970","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","239","C","181","C","","","11","C","","","203",",C,1219,","58.7",",C,0530,","2775.8",",C","1001",",C"
"CA001066488","1971","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","233","C","191","C","","","28","C","","","356",",C,1219,","93.5",",C,0418,","3138.7",",C","2688",",C"
"CA001066488","1972","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","226","C","174","C","","","39","C","","","343",",C,0307,","108.2",",C,1023,","3209.1",",C","3652",",C"
"CA001066488","1973","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","263","C","204","C","","","24","C","","","239",",C,0118,","82.8",",C,0117,","3142.5",",C","2136",",C"
"CA001066488","1974","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","273","C","213","C","","","35","C","","","279",",C,1115,","150.4",",C,1008,","3949.6",",C","3220",",C"
"CA001066488","1975","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","270","C","203","C","","","52","C","","","188",",C,1209,","66.8",",C,1101,","2935.2",",C","3804",",C"
"CA001066488","1976","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","277","C","224","C","","","30","C","","","335",",C,0329,","131.3",",C,1026,","3871.9",",C","3059",",C"
"CA001066488","1977","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","253","C","179","C","","","16","C","","","165",",C,1116,","70.4",",C,1110,","2832.4",",C","1242",",C"
"CA001066488","1978","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","248","C","175","C","","","10","C","","","235",",C,1225,","140.2",",C,1105,","3039.2",",C","1005",",C"
"CA001066488","1979","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","251","C","168","C","","","17","C","","","180",",C,1212,","93.1",",C,1225,","2925.2",",C","1367",",C"
"CA001066488","1980","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","244","C","187","C","","","15","C","","","320",",C,0111,","175.0",",C,1208,","3155.8",",C","1391",",C"
"CA001066488","1981","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","256","C","191","C","","","8","C","","","133",",C,1209,","96.2",",C,0908,","3066.1",",C","562",",C"
"CA001066488","1982","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","216","C","161","C","","","19","C","","","381",",C,0215,","117.6",",C,0108,","2845.7",",C","2354",",C"
"CA001066488","1983","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","232","C","172","C","","","4","C","","","175",",C,1208,","162.2",",C,0924,","2430.2",",C","364",",C"
"CA001066488","1984","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","262","C","194","C","","","2","C","","","90",",C,1028,","99.0",",C,1205,","3063.0",",C","176",",C"
"CA001066488","1985","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","227","C","176","C","29","","13","C","180",",C,1115,","182",",C,1114,","106.2",",C,0220,","2723.6",",C","924",",C"
"CA001066488","1986","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","246","C","189","C","4","","4","C","110",",C,0408,","112",",C,0407,","149.0",",C,1019,","2993.3",",C","371",",C"
"CA001066488","1987","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","257","C","199","C","26","","10","C","390",",C,0302,","144",",C,1214,","95.0",",C,0920,","3525.8",",C","904",",C"
"CA001066488","1989","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","221","C","155","C","58","","18","C","260",",C,0131,+","262",",C,0129,","87.6",",C,1127,","2898.0",",C","1484",",C"
"CA001066488","1990","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","58","","","","570",",C,0215,","","","","","","","",""
"CA001066488","1991","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","18","","3","C","140",",C,1212,","130",",C,1211,","","","","","266",",C"
"CA001066488","1992","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","6","","6","C","280",",C,1221,","170",",C,1220,","","","","","743",",C"
"CA001066488","1993","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","19","","5","C","270",",C,0122,","222",",C,0120,","","","","","563",",C"
"CA001066488","1994","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","28","","21","C","230",",C,1207,","156",",C,0208,","","","","","1734",",C"
"CA001066488","1995","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","16","","7","C","250",",C,1206,","97",",C,0306,","","","","","748",",C"
"CA001066488","1996","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","36","","7","C","250",",C,0222,","140",",C,0221,","","","","","729",",C"
"CA001066488","1997","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","9","","5","C","280",",C,0106,","74",",C,0102,","","","","","645",",C"
"CA001066488","1998","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","","","9","C","","","154",",C,0106,","","","","","656",",C"
"CA001066488","2001","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","","","3","C","","","150",",C,1218,","","","","","810",",C"
"CA001066488","2002","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","","","4","C","","","70",",C,0124,","","","","","280",",C"
"CA001066488","2003","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","","","7","C","","","80",",C,0309,","","","","","460",",C"
"CA001066488","2004","54.3167","-130.2833","60.0","PRINCE RUPERT MONT CIRC, BC CA","","","","","6","","2","C","210",",C,0129,","160",",C,0129,","","","","","270",",C"
